a-uw-a, auwi-a	awfa
fud-ōšt-o, fud-ōšt-u	fudōštu
fut+ki	putki, pūtki
fut+ki-b	futkib
fut+ki-da	putkīda
fut+ki-i-ž, fut+ki-ž	futkiž
fut+ki-na	futkina, putkina
fār-a, fāri-a	fāra
fār-i-e, fāri-i-e, fāri-ie, fārē	fārie
fāzanigar-ve-až	fāzanigarvaž
fāġadi	fāġadi
fāžani-ae	pāžanae
fāžani-na	fāžanna
fāžani-ne, fāžani-ne-e	fāžanni
fāžani-ne-e=l, fāžani-ne-ž=l, fāžani-ne=l, pāž+a+nni-i=l, pāž+a+nni-ž=l	pāžannel
fāžani-āe	pāžanāe
fāži	fāže, fāži, paži
fāži, fāži-i, pāži	pāži
fāži-b	pāžib
fāži-da, fāži-i-da	pāžida
fāži-i-va, fāži-va, pāži-i-va, pāži-va	pāžiba
fāži-ī-va, fāži-ī-va	fāžīva
fē-lla, fē-ž=l	fel
fē-uda	fiwta
fē-va	feva
fē-ve	pēbi
fē-š=nna	pēšša
fē-ž	pēž
fē-ž-a	fēža, pēža
fē-ž-uda	fēžuda
fē-ž-ūda	fēžūda
fēl-o-ež	fēluž
fēll-ož-a	fēlluža
fēn+ā+ni-a, fēn-ān-a	fēnāna
fēḫḫ-ēd-a, fēḫḫi-ie-da	fēḫḫēda
fōnuġōn+že	fūnuġōnži
fōr+all+i+n+ze, fōr+all+i+n+ze-i-ē, fōr+all+i+n+ze-iē	fōrālīzie
fōr+all+i+nni-na-až-a=l	purallinninažal
fōri-da, fōri-i-da	fōrida, pōrida
fōri-f-fa=ān, fōri-f-fā=n, fōri-iffe-a=ān, fōri-iffe-ā=n	fōriffān
fōri-i-va, fōri-va	pōriba
fōri-ī-da	fōrīda
fōrol+žari-na-až-a=an	fōrulžarražan
fōroli-na-až-ož=l	fōrullažul
fōroli-ne, fōroli-ne-e	fōrulli, pōrulli
fōroli-ne-n	pōrullin
fōroli-ne-ve	purullibi
fōroli-ne-ve-na	fōrullibina, pōrullibina
fōrunz+i+ġe	fōrunziġi
fūr-u	fūru, pūru
ibi	ibi
ibi-ai	ibāi
ibi-i=ma, ibi=ma	ibima
ibi-ne, ibi-ne-e	ibini
ibi=m	ibim
ibr+ad+n+a+ni-na, ibr+ad+n+a+nni-a, ibr+ad+ni-a=nna	ibradnanna
id+ni	idni, ēdni
id+ni-a	idna
id+ni-b	idnib
id+ni-da, id+ni-i-da	idnida
id-ar-i-l-āi	idarrāi
id-ed-i	idedi
id-i, id-i, ide	idi
id-i-a, ide-i-a	idia
id-i-l-ānni	idilānni
id-ī-e	idīe
ide	ide
ide-b	ideb, idib, idīb
ide-b-ož, ide-ve-ož	idebuž
ide-b-uda	idibuda
ide-b-ōda	idibōda
ide-da, ide-i-da	ideda, idida
ide-i-až	idiaž
ide-i-až-a	ediaža, idiaža
ide-i-da	edida
ide-i-va, ide-va	ideba, idiba
ide-i-ve, ide-ve	idibi
ide-iffū-da	ideppūda
ide-p-pa	ideppa
ide-ī-da	idīda
ide-ž-ūda	edežūda
idenna-ne-ž	idennanež, idennaniž
idenni	idenni
ieni-p-pe-n(e)-e=d	īnippinid
igi-na	igina
igingališ-va	igingalīšša
igingališ-ḫe-nā=ma	igingališḫenāma, igingališḫināma
igingališ-ḫī-na=mma	igingališḫīnamma
ikk+amm+a+šše	ikkammašši
il-a, ili-a	ila
il-ešk-a, ileški-a	ileška
ilamd+ō+ġe	ilamdōġi
illaia-ġe	illaiaġe
ilāvā-a=ān, ilāvā-ā=n, ilāvā=n, ilāvā=ān	ilāvān
ilōllani-na	ilōllanna
immande-na	immandena
immarde-a	immarda
immari-ne-da	immarrida
immarvaġe-na-āž-e	immarvaġināže
immašku=n	immaškun
in+i+tḫ+ar+i-na	initḫarra
in-ūr-o, in-ūr-u	inūru
ind+a+ni-ne-e=m, ind+a+ni-ne=m, ind+a+nni=m, ind-i-anni=m	indannim
ini-ve-āi	inibāi
inu	inu
inu=ma	inuma
inu=mma	inumma
inu=mē	inumē
inu=tta	inutta
inġ+ar+i-a	inġara
inġ-a=d, inġi-a=d	inġad
ird-i, irde, irde-i	irdi
irde	irde
irde-b	irdib, īrdib
irde-da, irde-i-da	irdeda, irdida
irde-ī-ž	irdīž
irdōv+ā+nni-ne-ve	irdōvānninibi
irial+zi	irialzi
irn-a	irna
irġāri	irġāri
iss-ēd-i	issēdi
itk+o+re-ne-e=lla, itk+o+re-ne-ž=lla, itk+o+re-ne=lla	itkurinella
itk+ud+ut+ki	itkudutki
itk+ul+i+m+a+šše	itkulimašši, itkulimāšši, itkulumašši
itk+und+o+re	itkundōri
itk-a	itka
itk-ašt-a	itkašta
itk-ašt-a-b	itkaštab
itk-ašt-i-b	itkaštib
itk-i-a-ž	itkiaž
itk-i-a=an, itk-i-a=n, itk-i-an	itkian
itk-i-ai-š=nna	itkaišša
itk-i-anni=m	itkannim
itk-id-anni=m	itkidannim
itk-id-o	itkidu
itk-ind-o-ež	itkinduž
itk-o-ež	itkuž
itk-o-ež-a=lla	itkužalla
itk-o-l-āe-ž	itkulāež
itk-o-l-ēž	itkulēž
itk-ol-a	itkula
itk-ol-d-a	itkulda
itk-ol-u-nd-a-šše	itkulundašši
itk-ol-āw-ž	itkulāuž
itk-ož-ill-and-i-n, itk-ož-ill-and-i=n	itkužellandin
itk-u-nd-a-šše-na=ma	itkundaššinama
itk-u-nd-a-šše-na=mma	itkundaššinamma
itk-ud-ol-ed-a-šše	ētkudulidašši
itk-umme	itkummi
itk-ušt-o-m, itk-ušt-o=m	itkuštum
itk-ā=l	itkāl
itk-ō-ež	itkōž
itk-ō-l-āi, itk-ōl-i-āi	itkōlāi
itk-ōl-a, itk-ōl-a	itkōla
itk-ōl-i	itkōli
itk-ōž-a	itkōža
itkal+zi	itkalzi
itkal+zi-a	itkalza, itkalzia
itkal+zi-ai	itkalzai
