form	segmentation	pos	morph_tag
kērāži	ker+ā+že	ADJ	.ABS
kiražima	ker+ā+že=ma	ADJ	.ABS=CON
kirāžima	ker+ā+že=ma	ADJ	.ABS=CON
kibašši	kev+a+šše	noun	.ABS
kibāšši	kev+a+šše	noun	.ABS
kībašši	kev+a+šše	noun	.ABS
kēba	kev-a	verb	INT
kēva	kev-a	verb	INT
kibašši	kev-a-šše	verb	INT-NMLZ.ABS
kibāšši	kev-a-šše	verb	INT-NMLZ.ABS
kībašši	kev-a-šše	verb	INT-NMLZ.ABS
kibulaēšša	kev-o-l-ai-ž=nna	verb	MOD.PAT-l-PURP-ž=3SG.ABS
kēbulāešša	kev-o-l-ai-ž=nna	verb	MOD.PAT-l-PURP-ž=3SG.ABS
kiverra	kevri-na	noun	RELAT.PL.ABS
kēverra	kevri-na	noun	RELAT.PL.ABS
kešše	kešše	noun	.ABS
kišši	kešše	noun	.ABS
kešḫi	kešḫi	noun	.ABS
kēšḫe	kešḫi	noun	.ABS
kešḫīda	kešḫi-i-da	noun	3POSS.SG-DIR
kišḫida	kešḫi-i-da	noun	3POSS.SG-DIR
kešḫini	kešḫi-ne-e	noun	RELAT.SG-DIR/LOC
kišḫeni	kešḫi-ne-e	noun	RELAT.SG-DIR/LOC
kišḫini	kešḫi-ne-e	noun	RELAT.SG-DIR/LOC
kiaži	kiaže	noun	.ABS
kīaži	kiaže	noun	.ABS
kippinež	kippi-ne-ž	noun	RELAT.SG-ERG
kippiniž	kippi-ne-ž	noun	RELAT.SG-ERG
kīppinež	kippi-ne-ž	noun	RELAT.SG-ERG
kirenze	kire+n+ze	noun	.ABS
kirenzi	kire+n+ze	noun	.ABS
kirinzi	kire+n+ze	noun	.ABS
kērenze	kire+n+ze	noun	.ABS
kivōrġēnivōž	kiv+ōr+ġē-ne-ve-ož	noun	RELAT.SG-GEN-EQU
kivōrġēnivōž	kiv+ōr+ġē-ne-ve-ož	noun	RELAT.SG-GEN-ERG
kulōrum	kul-ur-o-m	verb	ur-TR.PFV-3A.SG
kulūrum	kul-ur-o-m	verb	ur-TR.PFV-3A.SG
kulmuri	kulm+o+re	noun	.ABS
kulmōri	kulm+o+re	noun	.ABS
kumarbi	kumarve	noun	.ABS
kumarve	kumarve	noun	.ABS
kumarvenel	kumarve-ne-ž=l	noun	RELAT.SG-ERG=3PL.ABS
kumarvinīel	kumarve-ne-ž=l	noun	RELAT.SG-ERG=3PL.ABS
kummenive	kumme+ne-ve	noun	GEN
kumminibi	kumme+ne-ve	noun	GEN
kumminive	kumme+ne-ve	noun	GEN
kumminivi	kumme+ne-ve	noun	GEN
kāssi	kāze	noun	.ABS
kāzi	kāze	noun	.ABS
kāzuž	kāze-ož	noun	EQU
kāzōž	kāze-ož	noun	EQU
kāžuž	kāze-ož	noun	EQU
kēladi	kēl-ad-i	verb	ad-ANTIP
