form	segmentation	pos	morph_tag
itkuštum	itk-ušt-o-m	verb	RES-TR.PFV-3A.SG
itkuštum	itk-ušt-o=m	verb	RES-MOD.PAT=CON
itkužellandin	itk-ož-ill-and-i-n	verb	ož-ill-PL.A-MOD.AG-n
itkužellandin	itk-ož-ill-and-i=n	verb	ož-ill-PL.A-MOD.AG=3SG.ABS
itkōlāi	itk-o-l-ai	verb	MOD.PAT-l-PURP
itkōlāi	itk-ol-i-ai	verb	ol-MOD.AG-PURP
ittūbin	ittūbi-n	noun	ABL/INS
ittūbin	ittūbi=n	noun	.ABS=3SG.ABS
izuziva	izuzi-i-va	noun	3POSS.SG-DAT
izuziva	izuzi-va	noun	DAT
iškinna	iški+ni-na	noun	RELAT.PL.ABS
iškinna	iški-i-nna	noun	3POSS.SG-EQU2
iškinna	iški-nna	noun	EQU2
iškinna	iški=nna	noun	.ABS=3SG.ABS
ištanin	ištani-n	noun	ABL/INS
ištanin	ištani=n	noun	.ABS=3SG.ABS
ištanīma	ištani-i=ma	noun	3POSS.SG.ABS=CON
ištanīma	ištani=ma	noun	.ABS=CON
išteniffāmma	išteni-iffe-a=mma	noun	1POSS.SG-ESS=2SG.ABS
išteniffāmma	išteni-iffe=mma	noun	1POSS.SG.ABS=2SG.ABS
išteniffāmma	išteni-v-va=mma	noun	2POSS.SG-DAT=2SG.ABS
išteniffāmma	išteni-v-ve=mma	noun	2POSS.SG-GEN=2SG.ABS
ištennanan	išteni-na=nan	noun	RELAT.PL.ABS=CON
ištennanan	ištenni-a=n=an	noun	ESS=3SG.ABS=CON
ištuma	ištani-o-m=ma	verb	TR.PFV-3A.SG=CON
ištuma	ištani-o=ma	verb	MOD.PAT=CON
ištuma	ištani-u=ma	verb	MED=CON
ištuma	ištani-umme-a	verb	INF-ESS
išḫaran	išḫara=an	noun	.ABS=CON
išḫaran	išḫara=n	noun	.ABS=3SG.ABS
išḫāran	išḫara=an	noun	.ABS=CON
išḫāran	išḫara=n	noun	.ABS=3SG.ABS
iža	iža	noun	.ABS
iža	iža-a	noun	ESS
iža	iži-a	noun	ESS
ižammēni	iža+mme-ne	noun	ABL/INS
ižammēni	iža+mme-ne-e	noun	RELAT.SG-DIR/LOC
ižuštel	iž-o-ež=dil	verb	MOD.PAT-OPT=1PL.ABS
ižuštel	iž-ušt-i=l	verb	RES-ANTIP=3PL.ABS
ižāvena	iža-ve-na	noun	GEN-RELAT.PL.ABS
ižāvena	iža-ve-ne-a	noun	GEN-RELAT.SG-ESS
ižīma	iži-i=ma	noun	3POSS.SG.ABS=CON
ižīma	iži=ma	noun	.ABS=CON
ižīmāin	iž-i+m+ai-n	verb	CVB-n
ižīmāin	iž-i+m+ai=n	verb	CVB=3SG.ABS
kadib	kad-i-b	verb	ANTIP-b
kadib	kad-i=v	verb	ANTIP=2PL.ABS
kadānu	kad-an-o	verb	an-MOD.PAT
kadānu	kad-an-u	verb	an-MED
kaganidama	kaġ+a+ni-da=ma	noun	DIR=CON
kaganidama	kaġ+a+ni-i-da=ma	noun	3POSS.SG-DIR=CON
kaiġida	ka+i+ġe-da	noun	DIR
kaiġida	ka+i+ġe-i-da	noun	3POSS.SG-DIR
kapšuġāl	kapš-oġ-a=l	verb	oġ-3A.SG=3PL.ABS
kapšuġāl	kapš-oġ-a=l	verb	oġ-INT=3PL.ABS
kapšuġāma	kapš-oġ-a=ma	verb	oġ-3A.SG=CON
kapšuġāma	kapš-oġ-a=ma	verb	oġ-INT=CON
kargāni	karg+ā+ni	noun	.ABS
kargāni	karg-an-i	noun	an-ANTIP
karži	karži	noun	.ABS
karži	karži-i	noun	3POSS.SG.ABS
karžida	karži-da	noun	DIR
karžida	karži-i-da	noun	3POSS.SG-DIR
kaškan	kaška=an	noun	.ABS=CON
kaškan	kaška=n	noun	.ABS=3SG.ABS
kašti	kaš-d-i	verb	d-ANTIP
kašti	kašt-i	verb	ANTIP
kažalla	kažli-na	noun	RELAT.PL.ABS
kažalla	kāži-a=lla	noun	ESS=3PL.ABS
kažlužellandin	kažl-ož-ill-and-i-n	verb	ož-ill-PL.A-MOD.AG-n
kažlužellandin	kažl-ož-ill-and-i=n	verb	ož-ill-PL.A-MOD.AG=3SG.ABS
kenna	keni-na	noun	RELAT.PL.ABS
kenna	kenni-a	noun	ESS
kešḫidan	kešḫi-dan	noun	ABL
kešḫidan	kešḫi-i-dan	noun	3POSS.SG-ABL
kiaženidan	kiaže-ne-da=an	noun	RELAT.SG-DIR=CON
kiaženidan	kiaže-ne-da=n	noun	RELAT.SG-DIR=3SG.ABS
kibibād	kev-i-b-a=d	verb	ANTIP-b-EPNTH=1SG.ABS
kibibād	kev-i-eva=d	verb	MOD.AG-POT=1SG.ABS
kibridadel	kibridi-a=dil	noun	ESS=1PL.ABS
kibridadel	kibridi=dil	noun	.ABS=1PL.ABS
kibure	kev+o+re	noun	.ABS
kibure	kiburi-ne	noun	ABL/INS
kibure	kiburi-ne-e	noun	RELAT.SG-DIR/LOC
kiptaneda	kip-d-an-ed-a	verb	d-an-FUT-3A.SG
kiptaneda	kipt-an-ed-a	verb	an-FUT-3A.SG
kirarinni	kir+ar+i+nni	noun	.ABS
kirarinni	kir+ari+ni-ne	noun	ABL/INS
kirarinni	kir+ari+ni-ne-e	noun	RELAT.SG-DIR/LOC
kirarnež	kir+ari+ni-i-ž	noun	3POSS.SG-ERG
